"PITTagID","FishGutID","TripID","Region","Reach","RiverMile","Date","Time","Site","FishSpeciesID","ForkLength","Weight","FlagStrange","FlagDelete","EntererSample","Processor","ProcessDate","ProcessTime","QAQC","Checker","EntererSpecimen","Notes"
"000.20120420AA","2012-04-20_20:49:00","GC20120419","GrandCanyon","CRLeesFerry",-4.30,"04/20/2012","20:49:00","84","RBT",142,29.2,0,0,,,"05/16/2012",,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120420BA","2012-04-20_20:52:00","GC20120419","GrandCanyon","CRLeesFerry",-4.30,"04/20/2012","20:52:00","84","RBT",81,5.6,0,0,,,"05/17/2012",,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120420CA","2012-04-20_20:59:00","GC20120419","GrandCanyon","CRLeesFerry",-4.15,"04/20/2012","20:59:00","662","RBT",361,290,0,0,,,"05/17/2012",,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120420DA","2012-04-20_21:05:00","GC20120419","GrandCanyon","CRLeesFerry",-4.15,"04/20/2012","21:05:00","662","RBT",133,25.8,0,0,,,"05/18/2012",,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120420EA","2012-04-20_21:11:00","GC20120419","GrandCanyon","CRLeesFerry",-4.15,"04/20/2012","21:11:00","662","RBT",116,14.5,0,0,,,"05/18/2012",,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120420FA","2012-04-20_21:12:00","GC20120419","GrandCanyon","CRLeesFerry",-4.15,"04/20/2012","21:12:00","662","RBT",215,110,0,0,,,"05/21/2012",,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120420GA","2012-04-20_21:45:00","GC20120419","GrandCanyon","CRLeesFerry",-4.15,"04/20/2012","21:45:00","85","RBT",123,18.7,0,0,,,"05/21/2012",,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120420HA","2012-04-20_21:46:00","GC20120419","GrandCanyon","CRLeesFerry",-4.15,"04/20/2012","21:46:00","85","RBT",349,417,0,0,,,"05/21/2012",,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120420IA","2012-04-20_21:47:00","GC20120419","GrandCanyon","CRLeesFerry",-4.15,"04/20/2012","21:47:00","85","RBT",210,117,0,0,,,"05/21/2012",,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120420JA","2012-04-20_22:15:00","GC20120419","GrandCanyon","CRLeesFerry",-4.02,"04/20/2012","22:15:00","86","RBT",171,63.1,0,0,,,"05/23/2012",,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120420KA","2012-04-20_22:16:00","GC20120419","GrandCanyon","CRLeesFerry",-4.02,"04/20/2012","22:16:00","86","RBT",179,75,0,0,,,"06/01/2012",,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120420LA","2012-04-20_22:17:00","GC20120419","GrandCanyon","CRLeesFerry",-4.02,"04/20/2012","22:17:00","86","RBT",124,22.3,0,0,,,,,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120420MA","2012-04-20_22:18:00","GC20120419","GrandCanyon","CRLeesFerry",-4.02,"04/20/2012","22:18:00","86","RBT",110,16.2,0,0,,,"06/07/2012",,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120420NA","2012-04-20_22:20:00","GC20120419","GrandCanyon","CRLeesFerry",-4.02,"04/20/2012","22:20:00","86","RBT",365,471,0,0,,,,,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120420OA","2012-04-20_22:27:00","GC20120419","GrandCanyon","CRLeesFerry",-4.06,"04/20/2012","22:27:00","664","RBT",278,294,0,0,,,,,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120420PA","2012-04-20_22:30:00","GC20120419","GrandCanyon","CRLeesFerry",-4.06,"04/20/2012","22:30:00","664","RBT",109,13.4,0,0,,,"06/07/2012",,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120420QA","2012-04-20_22:33:00","GC20120419","GrandCanyon","CRLeesFerry",-4.06,"04/20/2012","22:33:00","664","RBT",185,71.4,0,0,,,"06/07/2012",,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120420RA","2012-04-20_22:34:00","GC20120419","GrandCanyon","CRLeesFerry",-4.06,"04/20/2012","22:34:00","664","RBT",234,,0,0,,,,,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120420SA","2012-04-20_22:35:00","GC20120419","GrandCanyon","CRLeesFerry",-4.06,"04/20/2012","22:35:00","664","RBT",101,11.5,0,0,,,"06/07/2012",,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120420TA","2012-04-20_22:42:00","GC20120419","GrandCanyon","CRLeesFerry",-3.73,"04/20/2012","22:42:00","665","RBT",78,4.7,0,0,,,"06/07/2012",,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120420UA","2012-04-20_22:43:00","GC20120419","GrandCanyon","CRLeesFerry",-3.73,"04/20/2012","22:43:00","665","RBT",89,8.1,0,0,,,,,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120421AA","2012-04-21_21:03:00","GC20120419","GrandCanyon","CRGrandCanyon",17.22,"04/21/2012","21:03:00","809","RBT",170,55.5,0,0,,,,,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120421BA","2012-04-21_21:05:00","GC20120419","GrandCanyon","CRGrandCanyon",17.22,"04/21/2012","21:05:00","809","RBT",153,40.6,0,0,,,"06/11/2012",,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120421CA","2012-04-21_21:12:00","GC20120419","GrandCanyon","CRGrandCanyon",17.22,"04/21/2012","21:12:00","809","RBT",146,36.5,0,0,,,"06/11/2012",,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120421DA","2012-04-21_21:13:00","GC20120419","GrandCanyon","CRGrandCanyon",17.22,"04/21/2012","21:13:00","233","RBT",170,55.5,0,0,,,"06/12/2012",,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120421EA","2012-04-21_21:14:00","GC20120419","GrandCanyon","CRGrandCanyon",17.22,"04/21/2012","21:14:00","233","RBT",304,295,0,0,,,"06/14/2012",,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120421FA","2012-04-21_21:17:00","GC20120419","GrandCanyon","CRGrandCanyon",17.22,"04/21/2012","21:17:00","233","RBT",166,56.5,0,0,,,"06/14/2012",,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120421GA","2012-04-21_21:18:00","GC20120419","GrandCanyon","CRGrandCanyon",17.22,"04/21/2012","21:18:00","233","RBT",296,275,0,0,,,"06/08/2012",,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
