"SpID","SpeciesID","Description","CommonName","Fishgut","FishgutPrey","LightTrap","Benthic","Drift","Sticky","Pitfall","Malaise","RegressionA","RegressionB","Kingdom","Phylum","Class","Order","Superfamily","Family","Genus","Species","Habitat","Stage","FFG","MHBI","Notes","Group","BenthicID","DriftID","AFDM_Multiplier"
1,"CHYD","Coleoptera: Hydroscaphidae (Adult)","skiff beetle",0,0,0,0,1,0,0,0,,,"Animalia","Arthropoda","Insecta","Coleoptera",,"Hydroscaphidae",,,"Aquatic","Adult",,,,"AQCOLE",,,
2,"CLAD","Cladophorales: Cladophoraceae: Cladophora glomerata","Filamentous green algae",0,0,0,1,0,1,0,1,,,"Plantae","Chlorophyta","Ulvophyceae","Cladophorales",,"Cladophoraceae","Cladophora","glomerata","Aquatic",,,,,"AQPLAN",,,
3,"POTA","Alismatales: Potamogetonaceae: Potamogeton spp.","Pond weed",0,0,0,0,0,0,0,0,,,"Plantae","Tracehophyta","Liliopsida","Alismatales",,"Potamogetonaceae","Potamogeton",,"Aquatic",,,,,"AQPLAN",,,
4,"ULOT","Ulotrichales: Ulotrichaceae: Ulothrix spp.","Filamentous green algae",0,0,0,0,0,0,0,0,,,"Plantae","Chlorophyta","Ulvophyceae","Ulotrichales",,"Ulotrichaceae","Ulothrix",,"Aquatic",,,,,"AQPLAN",,,
5,"ZYGN","Zygnematales","Green algae",0,1,0,0,0,0,0,0,,,"Plantae","Charophyta","Zygnematophyceae","Zygnematales",,,,,"Aquatic",,,,,"AQPLAN",,,
6,"SPID","Araneae (Adult)","Spider",0,1,1,0,1,1,0,1,,,"Animalia","Arthropoda","Arachnida","Araneae",,,,,"Terrestrial","Adult",,,,"TEARAC",,,
7,"MITE","Trombidiformes (Adult)","Aquatic mite",0,1,1,1,1,1,0,1,2.66e-03,1.00,"Animalia","Arthropoda","Arachnida","Trombidiformes",,,,,"Aquatic","Adult","Predator",,,"AQMITE",3.00,3.00,1.00
8,"SCOR","Scorpiones (Adult)","Scorpion",0,1,1,0,0,0,0,0,,,"Animalia","Arthropoda","Arachnida","Scorpiones",,,,,"Terrestrial","Adult",,,,"TEARAC",,,
9,"BIRD","Aves","Bird",0,0,0,0,0,0,0,0,,,"Animalia","Chordata","Aves",,,,,,"Terrestrial",,,,,"TEBIRD",,,
10,"CENT","Chilopoda","Centipede",1,1,0,0,1,0,0,0,,,"Animalia","Arthropoda","Chilopoda",,,,,,"Terrestrial",,,,,"TECENT",,,
11,"HYDR","Hydrozoa","Hydra",0,0,0,1,1,0,0,0,,,"Animalia","Cnidaria","Hydrozoa",,,,,,"Aquatic",,,,,"AQMISC",10.00,10.00,
12,"CARA","Coleoptera: Carabidae (Adult)","ground beetle",0,0,1,1,1,1,1,1,,,"Animalia","Arthropoda","Insecta","Coleoptera",,"Carabidae",,,"Terrestrial","Adult","PredatorWanderer",,,"TECOLE",,,
13,"CERM","Coleoptera: Cerambycidae (Adult)","longhorned beetle",0,0,1,0,0,0,0,0,,,"Animalia","Arthropoda","Insecta","Coleoptera","Chrysomeloidea","Cerambycidae",,,"Terrestrial","Adult",,,,"TECOLE",,,
14,"CHRY","Coleoptera: Chrysomelidae (Adult)","leaf beetle",0,0,1,1,1,0,1,0,,,"Animalia","Arthropoda","Insecta","Coleoptera","Chrysomeloidea","Chrysomelidae",,,"Terrestrial","Adult","Herbivore",,,"TECOLE",,,
15,"COCC","Coleoptera: Coccinelidae (Adult)","ladybug",0,1,1,0,1,1,0,1,,,"Animalia","Arthropoda","Insecta","Coleoptera","Cucujoidea ","Coccinelidae",,,"Terrestrial","Adult",,,,"TECOLE",,,
16,"CURC","Coleoptera: Curculionidae (Adult)","weevil",0,0,1,0,1,1,1,1,,,"Animalia","Arthropoda","Insecta","Coleoptera","Curculionoidea","Curculionidae",,,"Terrestrial","Adult","Herbivore",,,"TECOLE",,,
17,"ELAT","Coleoptera: Elateridae (Adult)","click beetle",0,0,1,0,0,0,0,0,,,"Animalia","Arthropoda","Insecta","Coleoptera","Elateroidea","Elateridae",,,"Terrestrial","Adult",,,,"TECOLE",,,
18,"ELML","Coleoptera: Elmidae (Larva)","riffle beetle",0,0,0,1,1,0,0,0,3.9e-03,2.96,"Animalia","Arthropoda","Insecta","Coleoptera","Byrrhoidea","Elmidae",,,"Aquatic","Larva","ScraperGrazer","4",,"AQCOLE",15.00,15.00,1.00
19,"MELO","Coleoptera: Meloidae (Adult)","blister beetle",0,0,1,0,0,0,0,0,,,"Animalia","Arthropoda","Insecta","Coleoptera","Tenebrionoidea","Meloidae",,,"Terrestrial","Adult",,,,"TECOLE",,,
20,"NOXS","Coleoptera: Anthicidae: Notoxus spp. (Adult)","antlike flower beetle",0,0,1,0,0,1,1,1,,,"Animalia","Arthropoda","Insecta","Coleoptera","Tenebrionoidea","Anthicidae","Notoxus",,"Terrestrial","Adult","Generalist",,,"TECOLE",,,
21,"SCAR","Coleoptera: Scarabaeidae (Adult)","scarab beetle",0,0,1,0,0,0,1,0,,,"Animalia","Arthropoda","Insecta","Coleoptera",,"Scarabaeidae",,,"Terrestrial","Adult","Generalist",,,"TECOLE",,,
22,"TENE","Coleoptera: Tenebrionidae (Adult)","darkling beetle",0,0,1,0,0,0,1,0,,,"Animalia","Arthropoda","Insecta","Coleoptera","Tenebrionoidea","Tenebrionidae",,,"Terrestrial","Adult","Generalist",,,"TECOLE",,,
23,"COLE","Coleoptera (Adult)","Beetle adult (generic)",0,1,1,1,1,1,1,1,,,"Animalia","Arthropoda","Insecta","Coleoptera",,,,,"Terrestrial","Adult","Generalist",,,"TECOLE",,,
24,"CLAC","Cladocera: Daphniidae: Daphnia spp.","Daphnia zooplankton; smaller species",0,0,0,1,1,0,0,0,2.33e-03,1.00,"Animalia","Arthropoda","Branchiopoda","Cladocera",,"Daphniidae","Daphnia",,"Aquatic",,,,,"AQMISC",23.00,23.00,1.00
25,"COPE","Maxillopoda","Copepod zooplankton",0,1,0,1,1,0,0,0,1.0e-03,1.00,"Animalia","Arthropoda","Maxillopoda",,,,,,"Aquatic",,,,,"AQMISC",22.00,22.00,1.00
26,"DAPH","Cladocera: Daphniidae: Daphnia spp.","Daphnia zooplankton; larger species",0,1,0,1,1,0,0,0,2.33e-03,1.00,"Animalia","Arthropoda","Branchiopoda","Cladocera",,"Daphniidae","Daphnia",,"Aquatic",,,,,"AQMISC",24.00,24.00,1.00
27,"HARP","Harpacticoida","Benthic copepod zooplankton",0,0,0,1,1,0,0,0,,,"Animalia","Arthropoda","Maxillopoda","Harpacticoida",,,,,"Aquatic",,,,,"AQMISC",27.00,30.00,
28,"DETI","Detritus (inorganic)","Detritus (inorganic)",0,0,0,0,0,0,0,0,,,,,,,,,,,"Aquatic",,,,,"AQMISC",,,
29,"DETO","Detritus (organic)","Detritus (organic)",0,0,0,0,0,0,0,0,,,"Plantae",,,,,,,,"Aquatic",,,,,"AQPLAN",,,
30,"DIPL","Diptera (Larva)","Aquatic fly larva (generic)",1,1,0,1,1,0,0,0,,,"Animalia","Arthropoda","Insecta","Diptera",,,,,"Aquatic","Larva",,,,"AQDIPT",18.00,18.00,
31,"ASIL","Diptera: Asilidae (Adult)","robber fly",0,0,1,0,0,1,0,1,,,"Animalia","Arthropoda","Insecta","Diptera","Asiloidea","Asilidae",,,"Terrestrial","Adult",,,,"TEDIPT",,,
32,"BLEL","Diptera: Blephariceridae (Larva)","net-winged midge",0,0,0,1,0,0,0,0,0.00,0.00,"Animalia","Arthropoda","Insecta","Diptera",,"Blephariceridae",,,"Aquatic","Larva","ScraperGrazer","0",,"AQDIPT",32.00,,0.00
33,"BOMB","Diptera: Bombyliidae (Adult)","bee fly",0,1,1,0,0,1,0,1,,,"Animalia","Arthropoda","Insecta","Diptera","Asiloidea","Bombyliidae",,,"Terrestrial","Adult",,,,"TEDIPT",,,
34,"CECA","Diptera: Cecidomyiidae (Adult)","gall midge",0,0,1,0,1,1,0,1,,,"Animalia","Arthropoda","Insecta","Diptera","Sciaroidea","Cecidomyiidae",,,"Terrestrial","Adult",,,,"TEDIPT",,,
35,"CERL","Diptera: Ceratopogonidae (Larva)","",0,1,0,1,1,0,0,0,2.2e-04,2.87,"Animalia","Arthropoda","Insecta","Diptera",,"Ceratopogonidae",,,"Aquatic","Larva","Predator","6",,"AQDIPT",29.00,,1.00
36,"CERA","Diptera: Ceratopogonidae (Adult)","biting midge adults",0,1,1,1,1,1,1,1,,,"Animalia","Arthropoda","Insecta","Diptera",,"Ceratopogonidae",,,"Aquatic","Adult","Predator","6",,"AQDIPT",,,
37,"CHIA","Diptera: Chironomidae (Adult)","midge adults",0,1,1,1,1,1,1,1,,,"Animalia","Arthropoda","Insecta","Diptera",,"Chironomidae",,,"Aquatic","Adult",,"6",,"AQDIPT",,33.00,
38,"CHIL","Diptera: Chironomidae (Larva)","midge larvae",0,1,0,1,1,0,0,0,6.0e-04,2.77,"Animalia","Arthropoda","Insecta","Diptera",,"Chironomidae",,,"Aquatic","Larva",,"6",,"AQDIPT",19.00,19.00,1.00
39,"CHIP","Diptera: Chironomidae (Pupa)","",0,1,0,1,1,0,1,0,,,"Animalia","Arthropoda","Insecta","Diptera",,"Chironomidae",,,"Aquatic","Pupa",,"6",,"AQDIPT",26.00,26.00,0.00
41,"CHIS","Diptera: Chironomidae (Adult)","",0,1,1,0,0,0,0,0,,,"Animalia","Arthropoda","Insecta","Diptera",,"Chironomidae",,"s","Aquatic","Adult","CollectorGatherer","6",,"AQDIPT",,,
42,"CHIB","Diptera: Chironomidae (Adult)","",0,1,1,0,0,0,0,0,,,"Animalia","Arthropoda","Insecta","Diptera",,"Chironomidae",,"l","Aquatic","Adult","CollectorGatherer","6",,"AQDIPT",,,
43,"CULA","Diptera: Culicidae (Adult)","mosquito",0,1,1,0,0,1,0,1,,,"Animalia","Arthropoda","Insecta","Diptera",,"Culicidae",,,"Aquatic","Adult","CollectorFilterer","8",,"AQDIPT",,,
44,"DOLA","Diptera: Dolichopodidae (Adult)","longlegged fly",0,1,1,0,1,1,0,1,,,"Animalia","Arthropoda","Insecta","Diptera","Empidoidea","Dolichopodidae",,,"Terrestrial","Adult",,,,"TEDIPT",,,
45,"EMPL","Diptera: Empididae (Larva)","dagger fly",0,1,0,1,1,0,0,0,4.0e-03,2.65,"Animalia","Arthropoda","Insecta","Diptera","Empidoidea","Empididae",,,"Aquatic","Larva","Predator","6","Aquatic?","AQDIPT",31.00,,1.00
46,"EPHY","Diptera: Ephydridae (Adult)","shorefly",0,0,1,0,1,0,0,0,,,"Animalia","Arthropoda","Insecta","Diptera","Ephydroidea","Ephydridae",,,"Aquatic","Adult","Shredder","6",,"AQDIPT",,,
47,"MILA","Diptera: Milichiidae (Adult)","fleeloader fly",0,1,1,0,0,0,0,0,,,"Animalia","Arthropoda","Insecta","Diptera",,"Milichiidae",,,"Terrestrial","Adult",,,,"TEDIPT",,,
48,"MUSC","Diptera: Muscidae (Adult)","house fly",0,1,1,0,1,1,0,1,,,"Animalia","Arthropoda","Insecta","Diptera","Muscoidea","Muscidae",,,"Terrestrial","Adult",,,,"TEDIPT",,,
