"BarcodeID","TripID","Region","Reach","RiverMile","Bank","Date","Collector","Orientation","TimeElapsed","FlagStrange","FlagDelete","EntererSample","Processor","ProcessDate","ProcessTime","QAQC","Checker","EntererSpecimen","Notes"
"S00001","GC20130622","GrandCanyon","CRGrandCanyon",20.80,"RB","06/22/2013",,"DS",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"50 m downstream of North confluence."
"S00002","GC20130622","GrandCanyon","CRGrandCanyon",20.80,"RB","06/22/2013",,"US",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"50 m downstream of North confluence."
"S00003","GC20130622","GrandCanyon","CRGrandCanyon",20.80,"RB","06/22/2013",,"Water",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"50 m downstream of North confluence."
"S00004","GC20130622","GrandCanyon","CRGrandCanyon",20.80,"RB","06/22/2013",,"Land",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"50 m downstream of North confluence."
"S00005","GC20130622","GrandCanyon","CRGrandCanyon",20.83,"RB","06/22/2013",,"Land",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"100 m downstream of North confluence."
"S00006","GC20130622","GrandCanyon","CRGrandCanyon",20.83,"RB","06/22/2013",,"Water",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"100 m downstream of North confluence."
"S00007","GC20130622","GrandCanyon","CRGrandCanyon",20.83,"RB","06/22/2013",,"US",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"100 m downstream of North confluence."
"S00008","GC20130622","GrandCanyon","CRGrandCanyon",20.83,"RB","06/22/2013",,"DS",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"100 m downstream of North confluence."
"S00009","GC20130622","GrandCanyon","CRGrandCanyon",20.83,"RB","06/22/2013",,"Water",1,1,1,"MuehlbauerJ","GoodenoughD",,,0,,,"100 m downstream of North confluence. Trap set laterally (perpendicular from mainstem), 2 m lateral from mainstem, at a distance of 100 m down mainstem from North tributary confluence."
"S00010","GC20130622","GrandCanyon","CRGrandCanyon",20.83,"RB","06/22/2013",,"Water",1,1,1,"MuehlbauerJ","GoodenoughD",,,0,,,"100 m downstream of North confluence. Trap set laterally (perpendicular from mainstem), 5 m lateral from mainstem, at a distance of 100 m down mainstem from North tributary confluence. Sandy."
"S00011","GC20130622","GrandCanyon","CRGrandCanyon",20.83,"RB","06/22/2013",,"Water",1,1,1,"MuehlbauerJ","GoodenoughD",,,0,,,"100 m downstream of North confluence. Trap set laterally (perpendicular from mainstem), 10 m lateral from mainstem, at a distance of 100 m down mainstem from North tributary confluence. Sandy."
"S00012","GC20130622","GrandCanyon","CRGrandCanyon",20.83,"RB","06/22/2013",,"Water",1,1,1,"MuehlbauerJ","GoodenoughD",,,0,,,"100 m downstream of North confluence. Trap set laterally (perpendicular from mainstem), 25 m lateral from mainstem, at a distance of 100 m down mainstem from North tributary confluence. Sandy."
"S00013","GC20130622","GrandCanyon","CRGrandCanyon",20.83,"RB","06/22/2013",,"Water",1,1,1,"MuehlbauerJ","GoodenoughD",,,0,,,"100 m downstream of North confluence. Trap set laterally (perpendicular from mainstem), 50 m lateral from mainstem, at a distance of 100 m down mainstem from North tributary confluence. Sandy."
"S00014","GC20130622","GrandCanyon","CRGrandCanyon",20.83,"RB","06/22/2013",,"Water",1,1,1,"MuehlbauerJ","GoodenoughD",,,0,,,"100 m downstream of North confluence. Trap set laterally (perpendicular from mainstem), 80 m lateral from mainstem, at a distance of 100 m down mainstem from North tributary confluence."
"S00015","GC20130622","GrandCanyon","North",50.00,"RB","06/22/2013",,"Water",1,1,1,"MuehlbauerJ","GoodenoughD",,,0,,,"Trap set laterally (perpendicular from tributary), 100 m lateral from tributary, at a distance of 50 m up tributary from confluence. ""River mile"" is actually meters upstream of confluence with mainstem."
"S00016","GC20130622","GrandCanyon","North",50.00,"RB","06/22/2013",,"Water",1,1,1,"MuehlbauerJ","GoodenoughD",,,0,,,"Trap set laterally (perpendicular from tributary), 50 m lateral from tributary, at a distance of 50 m up tributary from confluence. ""River mile"" is actually meters upstream of confluence with mainstem."
"S00017","GC20130622","GrandCanyon","North",200.00,"RB","06/22/2013",,"Water",1,1,1,"MuehlbauerJ","GoodenoughD",,,0,,,"Trap set laterally (perpendicular from tributary), 10 m lateral from tributary, at a distance of 200 m up tributary from confluence. 50 m. ""River mile"" is actually meters upstream of confluence with mainstem."
"S00018","GC20130622","GrandCanyon","North",50.00,"RB","06/22/2013",,"Water",1,1,1,"MuehlbauerJ","GoodenoughD",,,0,,,"Trap set laterally (perpendicular from tributary), 25 m lateral from tributary, at a distance of 50 m up tributary from confluence. Debris. ""River mile"" is actually meters upstream of confluence with mainstem."
"S00019","GC20130622","GrandCanyon","North",50.00,"RB","06/22/2013",,"Water",1,1,1,"MuehlbauerJ","GoodenoughD",,,0,,,"Trap set laterally (perpendicular from tributary), 5 m lateral from tributary, at a distance of 50 m up tributary from confluence. Sandy. ""River mile"" is actually meters upstream of confluence with mainstem."
"S00020","GC20130622","GrandCanyon","North",50.00,"RB","06/22/2013",,"Water",1,1,1,"MuehlbauerJ","GoodenoughD",,,0,,,"Trap set laterally (perpendicular from tributary), 2 m lateral from tributary, at a distance of 50 m up tributary from confluence. ""River mile"" is actually meters upstream of confluence with mainstem."
"S00021","GC20130622","GrandCanyon","North",50.00,"LB","06/22/2013",,"US",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"""River mile"" is actually meters upstream of confluence with mainstem."
"S00022","GC20130622","GrandCanyon","North",50.00,"LB","06/22/2013",,"DS",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"""River mile"" is actually meters upstream of confluence with mainstem."
"S00023","GC20130622","GrandCanyon","North",50.00,"LB","06/22/2013",,"Water",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"""River mile"" is actually meters upstream of confluence with mainstem."
