SpecimenID,SampleID,SpeciesID,CPartPicked,CPartTotal,Cpt5,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,CExtra,FPartPicked,FPartTotal,Fpt5,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,FExtra,Notes,Reference,Timestamp,CSubsample,FSubsample
1,8,OLIG,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,300,,,,,2,,,,,,,,,,,,,,FALSE,,FALSE,FALSE
2,8,SIML,1,8,,,1,4,2,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,,25,300,,2,7,2,1,,,,,,,,,,,,,,FALSE,,FALSE,FALSE
3,8,NEMA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,300,,,1,,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE
4,8,CHIL,1,8,,3,7,13,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,25,300,,5,14,4,1,,,,,,,,,,,,,,FALSE,,FALSE,FALSE
5,9,OLIG,1,8,,1,3,4,5,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,15,400,2,19,12,10,7,2,,,,,,,,,,,,,FALSE,,FALSE,FALSE
6,9,NZMS,1,8,,,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,15,400,4,,,,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE
7,9,MITE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,400,,6,,,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE
8,9,SIML,1,8,,,,,1,2,4,8,5,2,,,,,,,,,,,,,,,,,,,,,,,15,400,,,16,14,12,5,3,2,,,,,,,,,,,FALSE,,FALSE,FALSE
9,9,PLAN,1,8,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE
10,9,NEMA,1,8,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,400,,1,2,,3,,,,,,,,,,,,,,FALSE,,FALSE,FALSE
11,9,HYDL,1,8,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE
12,9,CHIL,1,8,,,1,7,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,15,400,,23,111,35,,6,,,,,,,,,,,,,FALSE,,FALSE,FALSE
13,10,OLIG,1,1,,3,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,300,,5,2,,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE
14,10,MITE,1,1,,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,300,3,3,,,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE
15,10,SIML,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,300,,,,1,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE
16,10,PLAN,1,1,,,1,8,,2,3,2,,1,2,1,,,,,,,,,,,,,,,,,,,,,10,300,,,1,,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE
17,10,NEMA,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,300,,,1,2,1,,,,,,,,,,,,,,FALSE,,FALSE,FALSE
18,10,ELML,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,300,,,,1,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE
19,10,DIPL,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE
20,10,CHIL,1,1,,4,15,10,12,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,10,300,,16,26,2,3,2,,,,,,,,,,,,,FALSE,,FALSE,FALSE
21,12,NZMS,1,1,,,4,30,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,10,300,7,,,,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE
22,12,MITE,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,300,1,1,,,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE
23,12,GAMM,1,1,,,,1,,4,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE
24,12,SIML,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,10,300,,1,,,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE
25,12,OSTR,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE
26,12,NEMA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,300,,,1,,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE
27,12,ELML,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE
28,12,CHIL,1,1,,2,1,,1,,5,3,,,,,,,,,,,,,,,,,,,,,,,,,10,300,,,3,13,9,2,,,,,,,,,,,,,FALSE,,FALSE,FALSE
29,13,OLIG,1,2,,26,11,37,26,16,5,5,11,5,16,,,,,,,,,,,,,,,,,,,,,,10,300,,73,73,40,7,7,,,,,,,,,,,,,FALSE,,FALSE,FALSE
30,13,NZMS,1,2,,,2,5,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,10,300,3,,,,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE
31,13,MITE,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE
32,13,GAMM,1,2,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE
33,13,PLAN,1,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE
34,13,NEMA,1,2,,2,2,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,10,300,,7,7,3,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE
35,13,ELML,1,2,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,10,300,3,21,,1,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE
36,13,CHIL,1,2,,1,4,7,3,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,10,300,,1,14,8,3,4,2,,,,,,,,,,,,FALSE,,FALSE,FALSE
37,13,DAPH,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,300,1,,,,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE
38,19,OLIG,1,1,0,0,3,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100,500,0,8,17,2,1,0,0,0,0,0,0,0,0,0,0,0,,,FALSE,,FALSE,FALSE
39,19,NZMS,1,1,0,2,11,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,150,500,12,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,FALSE,,FALSE,FALSE
40,19,MITE,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,150,500,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,FALSE,,FALSE,FALSE
41,19,SIML,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,150,500,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,FALSE,,FALSE,FALSE
42,19,NEMA,1,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,150,500,,,4,3,,,,,,,,,,,,,,,FALSE,6/28/2018,FALSE,FALSE
44,19,ELML,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,150,500,0,1,10,0,1,0,0,0,0,0,0,0,0,0,0,0,,,FALSE,,FALSE,FALSE
45,19,HYDL,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,FALSE,,FALSE,FALSE
46,19,DIPL,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,150,500,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,FALSE,,FALSE,FALSE
47,19,CHIL,1,1,0,0,0,10,10,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,150,500,0,2,43,19,10,0,0,0,0,0,0,0,0,0,0,0,,,FALSE,,FALSE,FALSE
48,20,OLIG,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,300,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,FALSE,,FALSE,FALSE
49,20,NZMS,1,1,0,2,0,0,11,39,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,FALSE,,FALSE,FALSE
50,20,MITE,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,300,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,FALSE,,FALSE,FALSE
51,20,SIML,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,FALSE,,FALSE,FALSE
52,20,NEMA,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,300,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,FALSE,,FALSE,FALSE
53,20,HYDL,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,300,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,FALSE,,FALSE,FALSE
54,20,CHIL,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,300,0,8,27,9,3,0,0,0,0,0,0,0,0,0,0,0,,,FALSE,,FALSE,FALSE
55,21,OLIG,1,1,3,4,6,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,FALSE,,FALSE,FALSE
